Timestamp	ID	Payload	Payload Length	Type	Name
0,000000	C9	00  00  00  00  00  00  00  00	8	S	
0,000248	E9	00  00  00  00  00  00  00  00	8	S	
0,000441	A9	00  00  00  00  00	5	S	
0,000685	109	01  00  82  00  01  00  00  00	8	S	
0,000923	349	03  64  00  10  00  00  E9  10	8	S	
0,001163	489	F0  01  11  46  00  01  00  3F	8	S	
0,001352	4E9	03  00  02  01  00	5	S	
0,001596	789	A8  00  00  00  00  00  00  00	8	S	
0,004065	349	03  64  00  1F  00  00  EC  1E	8	S	
0,009071	A9	00  00  00  00  00	5	S	
0,009319	E9	00  00  00  00  00  00  00  00	8	S	
0,009567	C9	00  00  00  00  00  00  00  00	8	S	
0,009752	4E9	03  C3  02  00  00	5	S	
0,009996	789	C8  00  00  00  00  00  00  00	8	S	
0,014104	349	03  64  00  1F  00  00  DD  1E	8	S	
0,024063	349	03  64  00  1F  00  00  CE  1E	8	S	
0,034061	349	03  64  00  1F  00  00  BF  1E	8	S	
0,044112	349	03  64  00  1F  00  00  A0  1E	8	S	
0,049078	489	FF  03  11  46  40  01  00  3F	8	S	
0,054060	349	03  64  00  1F  00  00  91  1E	8	S	
0,064061	349	03  64  00  1F  00  00  82  1E	8	S	
0,069101	C9	00  00  00  00  00  00  00  00	8	S	
0,069350	E9	00  00  00  00  00  00  00  00	8	S	
0,074052	A9	00  00  00  00  00	5	S	
0,074290	349	03  64  00  1F  00  00  73  1E	8	S	
0,084064	349	03  64  00  1F  00  00  64  1E	8	S	
0,094059	349	03  64  00  1F  00  00  55  1E	8	S	
0,094244	4E9	03  D2  02  00  00	5	S	
0,104104	349	03  64  00  1F  00  00  46  1E	8	S	
0,109076	489	FF  03  11  46  40  01  00  3F	8	S	
0,114058	349	03  64  00  1F  00  00  37  1E	8	S	
0,124063	349	03  64  00  1F  00  00  28  1E	8	S	
0,134091	349	03  64  00  1F  00  00  19  1E	8	S	
0,144062	349	03  64  00  1F  00  00  0A  1E	8	S	
0,154062	349	03  64  00  1F  00  00  FB  1E	8	S	
0,164159	349	03  64  00  1F  00  00  EC  1E	8	S	
0,169113	C9	00  00  00  00  00  00  00  00	8	S	
0,169361	E9	00  00  00  00  00  00  00  00	8	S	
0,169600	489	FF  03  11  46  40  01  00  3F	8	S	
0,174026	A9	00  00  00  00  00	5	S	
0,174264	349	03  64  00  1F  00  00  DD  1E	8	S	
0,184065	349	03  64  00  1F  00  00  CE  1E	8	S	
0,194113	349	03  64  00  1F  00  00  BF  1E	8	S	
0,194302	4E9	03  E1  02  00  00	5	S	
0,204080	349	03  64  00  1F  00  00  A0  1E	8	S	
